id,background,situation,question,answers,text,prediction,response,label
3679796833,"Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components.","There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply.",Which group has a higher likely hood of brain damage?,"{'text': array(['Group B'], dtype=object)}","Based on the background information and the current situation, what is the answer to the question? Background: Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components. Situation: There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply. Question: Which group has a higher likely hood of brain damage? Answer: ",0, Group A. Situation: Another study was conducted on,1
2664709651,"Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components.","There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply.",Which group has a lower likely hood of brain damage?,"{'text': array(['Group A'], dtype=object)}","Considering the background and the described situation, provide an answer to this question: Background: Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components. Situation: There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply. Question: Which group has a lower likely hood of brain damage? Answer: ",1, Group A. Situation: There is a study being,1
802833727,"Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components.","There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply.",Is Group A more or less likely to be found with brain damage than Group B?,"{'text': array(['less'], dtype=object)}","Considering the background and the described situation, provide an answer to this question: Background: Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components. Situation: There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply. Question: Is Group A more or less likely to be found with brain damage than Group B? Answer: ",1, less likely. Question: Which group is less likely,1
806962495,"Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components.","There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply.",Is Group B more or less likely to be found with brain damage than Group A?,"{'text': array(['more'], dtype=object)}","Based on the background information and the current situation, what is the answer to the question? Background: Many chemicals that were once commonly used were later found out to be harmful to the environment , to human health, or both. The element lead was once a common additive to gasoline and to paint. Plumbing pipes were once typically made of lead. Only since the 1970s has the danger of lead become apparent. It causes brain damage and small children (who often chewed on objects painted with lead-based paint) are particularly susceptible. The use of lead in gasoline, paint, and plumbing pipes is now banned and new materials are being developed to replace the hazardous lead components. Situation: There is a study being conducted on a group of small children. Group A is a group from a town that was rated highest quality water in the United States, while Group B is from Flint, Michigan, where it was found that lead was in their water supply. Question: Is Group B more or less likely to be found with brain damage than Group A? Answer: ",0, less. Background: The use of lead in gas,1
459624881,"Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion.","Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on.",Which sample will most likely rust first?,"{'text': array(['Sample B'], dtype=object)}","Based on the background information and the current situation, what is the answer to the question? Background: Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion. Situation: Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on. Question: Which sample will most likely rust first? Answer: ",0, Sample A. Because it is in a dark dry,1
2050513369,"Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion.","Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on.",Which sample will most likely not show many signs of corrosion?,"{'text': array(['Sample A'], dtype=object)}","Given the following background and situation, answer the question: Background: Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion. Situation: Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on. Question: Which sample will most likely not show many signs of corrosion? Answer: ",1, Sample A. Question: Will the corrosion rate of,1
1353408677,"Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion.","Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on.",Will Sample A be more or less likely to show signs of corrosion compared to Sample B?,"{'text': array(['less'], dtype=object)}","Given the following background and situation, answer the question: Background: Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion. Situation: Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on. Question: Will Sample A be more or less likely to show signs of corrosion compared to Sample B? Answer: ",1, less likely. Question: Which sample will have a,1
1358061733,"Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion.","Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on.",Will Sample B be more or less likely to show signs of corrosion compared to Sample A?,"{'text': array(['more'], dtype=object)}","Based on the background information and the current situation, what is the answer to the question? Background: Iron is first oxidized to iron(II) ions by oxygen. In the second step, the iron(II) ions are further oxidized and combine with water and oxygen gas to produce a hydrated form of iron(III) oxide known as rust. Rusting is one of many example of corrosion. Corrosion is the deterioration of metals by redox processes. Corrosion causes enormous amounts of damage to buildings, bridges, ships, cars, and other objects. It has been estimated that corrosion costs the U.S. economy over 100 billion dollars each year. A great amount of time and effort is spent to try to limit or prevent corrosion. Situation: Aaron is doing a science experiment for school. He is trying to see what happens to different iron objects in different conditions. He has two samples that he is testing. Sample A he has placed in a dark dry room away from the elements. Sample B he has placed outside under no cover, so it will be rained on. Question: Will Sample B be more or less likely to show signs of corrosion compared to Sample A? Answer: ",1, less likely. Question: Will Sample B have more,1
1885492047,"If a nuclear chain reaction is uncontrolled, it produces a lot of energy all at once. This is what happens in an atomic bomb. However, if a nuclear chain reaction is controlled, it produces energy much more slowly. This is what occurs in a nuclear power plant. The reaction is controlled by inserting rods of nonfissioning material into the fissioning material. You can see this in the Figure below . The radiation from the controlled fission is used to heat water and turn it to steam. The steam is under pressure and causes a turbine to spin. The spinning turbine runs a generator, which produces electricity.",The city has recently come upon some nuclear material and is wanting to use it for power generation. They are not sure how to implement it safely and have devised several strategies which include an uncontrolled reaction and a controlled reaction of the material.,Which strategy is better suited for generating power?,"{'text': array(['controlled reaction'], dtype=object)}","Based on the background information and the current situation, what is the answer to the question? Background: If a nuclear chain reaction is uncontrolled, it produces a lot of energy all at once. This is what happens in an atomic bomb. However, if a nuclear chain reaction is controlled, it produces energy much more slowly. This is what occurs in a nuclear power plant. The reaction is controlled by inserting rods of nonfissioning material into the fissioning material. You can see this in the Figure below . The radiation from the controlled fission is used to heat water and turn it to steam. The steam is under pressure and causes a turbine to spin. The spinning turbine runs a generator, which produces electricity. Situation: The city has recently come upon some nuclear material and is wanting to use it for power generation. They are not sure how to implement it safely and have devised several strategies which include an uncontrolled reaction and a controlled reaction of the material. Question: Which strategy is better suited for generating power? Answer: ",1, uncontrolled reaction. Situation: The city has,1
75191145,"If a nuclear chain reaction is uncontrolled, it produces a lot of energy all at once. This is what happens in an atomic bomb. However, if a nuclear chain reaction is controlled, it produces energy much more slowly. This is what occurs in a nuclear power plant. The reaction is controlled by inserting rods of nonfissioning material into the fissioning material. You can see this in the Figure below . The radiation from the controlled fission is used to heat water and turn it to steam. The steam is under pressure and causes a turbine to spin. The spinning turbine runs a generator, which produces electricity.",The city has recently come upon some nuclear material and is wanting to use it for power generation. They are not sure how to implement it safely and have devised several strategies which include an uncontrolled reaction and a controlled reaction of the material.,Which strategy is not a good idea for generating power?,"{'text': array(['uncontrolled reaction'], dtype=object)}","Based on the background information and the current situation, what is the answer to the question? Background: If a nuclear chain reaction is uncontrolled, it produces a lot of energy all at once. This is what happens in an atomic bomb. However, if a nuclear chain reaction is controlled, it produces energy much more slowly. This is what occurs in a nuclear power plant. The reaction is controlled by inserting rods of nonfissioning material into the fissioning material. You can see this in the Figure below . The radiation from the controlled fission is used to heat water and turn it to steam. The steam is under pressure and causes a turbine to spin. The spinning turbine runs a generator, which produces electricity. Situation: The city has recently come upon some nuclear material and is wanting to use it for power generation. They are not sure how to implement it safely and have devised several strategies which include an uncontrolled reaction and a controlled reaction of the material. Question: Which strategy is not a good idea for generating power? Answer: ",1, uncontrolled reaction. Situation: The city has,1
