text,pronoun,pronoun_loc,quote,quote_loc,options,label,source,prediction,response
"Given the following text:
    None
    What entity does ""They"" refer to from these options:
    0: The foxes
1: The chickens


    Give your answer as the option number
    Answer: ",They,62,They have gotten very bold.,62,['The foxes' 'The chickens'],0,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""It"" refer to from these options:
    0: The drain
1: The hair


    Give your answer as the option number
    Answer: ",It,32,It has to be cleaned.,32,['The drain' 'The hair'],0,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""his"" refer to from these options:
    0: Bill
1: John


    Give your answer as the option number
    Answer: ",his,40,his turn,40,['Bill' 'John'],0,David Bender,1, 1
"Given the following text:
    None
    What entity does ""them"" refer to from these options:
    0: copies of the newsletter
1: chairs


    Give your answer as the option number
    Answer: ",them,118,too many of them,106,['copies of the newsletter' 'chairs'],1,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""He"" refer to from these options:
    0: Bob
1: Charlie


    Give your answer as the option number
    Answer: ",He,42,He is very grateful.,42,['Bob' 'Charlie'],1,Ernest Davis,0, 1
"Given the following text:
    None
    What entity does ""her"" refer to from these options:
    0: The woman
1: The girl


    Give your answer as the option number
    Answer: ",her,32,her will,32,['The woman' 'The girl'],1,David Bender,1, 1
"Given the following text:
    None
    What entity does ""He"" refer to from these options:
    0: Bob
1: Charlie


    Give your answer as the option number
    Answer: ",He,92,He is very ungrateful.,92,['Bob' 'Charlie'],1,Ernest Davis,0, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: Fred
1: George


    Give your answer as the option number
    Answer: ",he,70,he got up.,70,['Fred' 'George'],0,Ernest Davis,0, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: Frank
1: Bill


    Give your answer as the option number
    Answer: ",he,62,he was the winner,62,['Frank' 'Bill'],1,Hector Levesque,0, 1
"Given the following text:
    None
    What entity does ""it"" refer to from these options:
    0: The sun
1: The cloud


    Give your answer as the option number
    Answer: ",it,95,it was gone,95,['The sun' 'The cloud'],1,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""them"" refer to from these options:
    0: The oatmeal cookies
1: The chocolate chip cookies


    Give your answer as the option number
    Answer: ",them,130,fewer of them,121,['The oatmeal cookies' 'The chocolate chip cookies'],1,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: Jim
1: the guy in uniform


    Give your answer as the option number
    Answer: ",he,92,why he was,88,['Jim' 'the guy in uniform'],0,Ernest Davis,0, 1
"Given the following text:
    None
    What entity does ""He"" refer to from these options:
    0: Dan
1: Bill


    Give your answer as the option number
    Answer: ",He,56,He is very compassionate.,56,['Dan' 'Bill'],0,David Bender,0, 1
"Given the following text:
    None
    What entity does ""He"" refer to from these options:
    0: Bob
1: Carl


    Give your answer as the option number
    Answer: ",He,64,He was very ill,64,['Bob' 'Carl'],0,Ernest Davis,0, 1
"Given the following text:
    None
    What entity does ""it"" refer to from these options:
    0: The key
1: The chewing gum


    Give your answer as the option number
    Answer: ",it,116,I couldn't get it out.,101,['The key' 'The chewing gum'],1,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""they"" refer to from these options:
    0: Kamchatka
1: Yakutsk


    Give your answer as the option number
    Answer: ",they,113,they were victorious,113,['Kamchatka' 'Yakutsk'],1,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""she"" refer to from these options:
    0: Alice
1: Jade


    Give your answer as the option number
    Answer: ",she,53,she always has good luck.,53,['Alice' 'Jade'],0,Sabri Meeran and Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""her"" refer to from these options:
    0: The woman
1: The girl


    Give your answer as the option number
    Answer: ",her,11,her back,11,['The woman' 'The girl'],0,David Bender,1, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: Bob
1: Adam


    Give your answer as the option number
    Answer: ",he,97,he would have won.,97,['Bob' 'Adam'],0,Ernest Davis,0, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: The man
1: The son


    Give your answer as the option number
    Answer: ",he,38,he was so heavy.,38,['The man' 'The son'],1,Hector Levesque,1, 1
"Given the following text:
    None
    What entity does ""It"" refer to from these options:
    0: The dog
1: The cat


    Give your answer as the option number
    Answer: ",It,45,It waited,45,['The dog' 'The cat'],1,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""it"" refer to from these options:
    0: The sculpture
1: The shelf


    Give your answer as the option number
    Answer: ",it,43,it wasn't anchored.,43,['The sculpture' 'The shelf'],0,Hector Levesque,1, 1
"Given the following text:
    None
    What entity does ""it"" refer to from these options:
    0: The sack of potatoes
1: The bag of flour


    Give your answer as the option number
    Answer: ",it,64,it had to be moved first.,64,['The sack of potatoes' 'The bag of flour'],1,Hector Levesque,1, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: George
1: Eric


    Give your answer as the option number
    Answer: ",he,71,he was not particularly eager,71,['George' 'Eric'],0,David Bender,1, 1
"Given the following text:
    None
    What entity does ""it"" refer to from these options:
    0: The dog
1: The spot under the tree


    Give your answer as the option number
    Answer: ",it,147,it was hot,147,['The dog' 'The spot under the tree'],0,Ernest Davis,1, 1
"Given the following text:
    None
    What entity does ""he"" refer to from these options:
    0: James
1: Robert


    Give your answer as the option number
    Answer: ",he,35,he was refused.,35,['James' 'Robert'],0,From (Rahman and Ng 2012),0, 1
"Given the following text:
    None
    What entity does ""she"" refer to from these options:
    0: Sue
1: Sally


    Give your answer as the option number
    Answer: ",she,66,she had such a good start.,66,['Sue' 'Sally'],0,Hector Levesque,1, 1
